apache-activemq|activemq
gnome-icon-theme|adwaita-icon-theme
tachyon|alluxio
ansible@8|ansible
ant@1.10|ant
antlr@4|antlr
arpack-ng|arpack
atkmm@2.36|atkmm
autoconf@2.71|autoconf
awsebcli|aws-elasticbeanstalk
awscli@2|awscli
az|azure-cli
bal|ballerina
bash-completion@1|bash-completion
basisu|basis_universal
bazel@6|bazel
boehmgc|bdw-gc
libgc|bdw-gc
berkeley-db@18|berkeley-db
db|berkeley-db
bison@3.8|bison
bigdata|blazegraph
boost@1.83|boost
bjam|boost-build
boost-jam|boost-build
botan@3|botan
brz|breezy
actor-framework|caf
cairomm@1.18|cairomm
cassandra@4.1|cassandra
letsencrypt|certbot
clang-format@17|clang-format
clasp|clingo
gringo|clingo
aws-mon|cloud-watch
pocketsphinx|cmu-pocketsphinx
sphinxbase|cmu-sphinxbase
conan@2|conan
ck|concurrencykit
lightningd|core-lightning
cowthink|cowsay
cpanm|cpanminus
crypto++|cryptopp
crystal-lang|crystal
ctags-exuberant|ctags
dejagnu|deja-gnu
dlv|delve
style|diction
boot2docker|docker-machine
boot2docker-cli|docker-machine
unix2dos|dos2unix
dotnet@8|dotnet
dupeseek|dupseek
libdwarf|dwarfutils
elan|elan-init
elasticsearch|elasticsearch@6
envoy@1.28|envoy
erlang@26|erlang
osh|etsh
liblabjackusb|exodriver
faas|faas-cli
fastcgi|fcgi
ffmpeg@6|ffmpeg
transfig|fig2dev
file|file-formula
fishfish|fish
fluid-synth@2.3|fluid-synth
fluidsynth|fluid-synth
apache-fop|fop
4store|fourstore
alut|freealut
freetype2|freetype
libgme|game-music-emu
gcc@13|gcc
gfortran|gcc
libgd|gd
gearmand|gearman
libgeoip|geoip
ghc@9|ghc
ghc@9.8|ghc
gs|ghostscript
gitlab-ci-multi-runner|gitlab-runner
glibc@2.35|glibc
glibmm@2.78|glibmm
gmt@6|gmt
latexila|gnome-latex
recipes|gnome-recipes
gsed|gnu-sed
gtypist|gnu-typist
gnupg2|gnupg
gnupg@2.4|gnupg
gpg|gnupg
gpg2|gnupg
gpg1|gnupg@1.4
gnuplot@5|gnuplot
go@1.21|go
golang|go
google-go|go
go-feature-flag|go-feature-flag-relay-proxy
jocr|gocr
mp4box|gpac
gradle@8|gradle
grpc@1.59|grpc
gnu-scientific-library|gsl
gtk+4|gtk4
gtk|gtk+
guile@3|guile
stack|haskell-stack
hdf5@1.14|hdf5
helm@3|helm
htop-osx|htop
apache-httpd|httpd
apache2|httpd
imagemagick@7|imagemagick
iwyu|include-what-you-use
influxdb@2|influxdb
kubo|ipfs
ipython@8|ipython
isl@0.26|isl
hudson|jenkins
libjpeg|jpeg
libjpg|jpeg
libjpeg-turbo|jpeg-turbo
kk|kubekey
kubectl|kubernetes-cli
kubectl@1.28|kubernetes-cli
kubernetes-cli@1.28|kubernetes-cli
bx|libbitcoin-explorer
bn|libbitcoin-node
bs|libbitcoin-server
libcouchbase@3|libcouchbase
libfuse@3|libfuse
libgit2@1.7|libgit2
libpqxx@7|libpqxx
rtl-sdr|librtlsdr
libsigc++@3|libsigc++
libsoup@3|libsoup
libtasn|libtasn1
libtensorflow@2|libtensorflow
tensorflow|libtensorflow
usb-multiplex-daemon|libusbmuxd
vid.stab|libvidstab
libxml++@2|libxml++
xmlsec1|libxmlsec1
linux-headers|linux-headers@5.15
lcms|little-cms
littlecms|little-cms
lcms2|little-cms2
llvm@17|llvm
ipsum|lorem
lua@5.4|lua
libmad|mad
nsis|makensis
mdocml|mandoc
mariadb@11.1|mariadb
mat|mat2
mathcomp|math-comp
ssreflect|math-comp
maven@3.9|maven
mvn|maven
mbedtls@3|mbedtls
libmcrypt|mcrypt
hashdeep|md5deep
mediainfo|media-info
hg|mercurial
libglu|mesa-glu
mc|midnight-commander
libmongoc|mongo-c-driver
mongo-c|mongo-c-driver
libmongoclient|mongo-cxx-driver
mongodb-atlas|mongodb-atlas-cli
mobile-shell|mosh
libmpdec|mpdecimal
myrepos|mr
msgpack-c|msgpack
msgpack-cpp|msgpack-cxx
mysql@8.1|mysql
mysql-client@8.1|mysql-client
nvim|neovim
nvr|neovim-remote
libnettle|nettle
newsbeuter|newsboat
node.js|node
node@21|node
nodejs|node
npm|node
numpy@1.26|numpy
twemproxy|nutcracker
observer_ward|observerward
o-caml|ocaml
liboggz|oggz
o-make|omake
openmpi|open-mpi
openocd|open-ocd
openscenegraph|open-scene-graph
ocio|opencolorio
opencv@4|opencv
openexr@3|openexr
java|openjdk
openjdk@21|openjdk
java11|openjdk@11
openssl|openssl@3
openssl@3.1|openssl@3
yubico-pam|pam_yubico
pangomm@2.50|pangomm
pcre1|pcre
leg|peg
percona-server@8.0|percona-server
camlistore|perkeep
perl@5.38|perl
php@8.2|php
php-cs-fixer@3|php-cs-fixer
phrase|phrase-cli
pkgconfig|pkg-config
procps@4|procps
pgrep|proctools
pkill|proctools
proj@9|proj
protobuf@25|protobuf
protobuf@3.20|protobuf@3
pipeviewer|pv
pypy3|pypy3.10
pyqt@6|pyqt
pyqt5|pyqt@5
pyside@6|pyside
python-gdbm|python-gdbm@3.11
python-tk|python-tk@3.11
python|python@3.11
python3|python@3.11
python@3|python@3.11
libqrencode|qrencode
qt6|qt
qt@6|qt
qt5|qt@5
perl6|rakudo-star
redis@7.2|redis
rich|rich-cli
rg|ripgrep
rga|ripgrep-all
ruby@3|ruby
ruby@3.2|ruby
ruby@2|ruby@2.7
rustup|rustup-init
slang|s-lang
saltstack|salt
sbt@1|sbt
scala@3|scala
sem|schema-evolution-manager
7-zip|sevenzip
7zip|sevenzip
skaffold@2.9|skaffold
solr@9.4|solr
speedtest_cli|speedtest-cli
spidermonkey@91|spidermonkey
findbugs|spotbugs
sqlite3|sqlite
subversion@1.14|subversion
svn|subversion
suitesparse|suite-sparse
supervisord|supervisor
swagger-codegen@3|swagger-codegen
swig@4|swig
swig@4.1|swig
synergy|synergy-core
libtag|taglib
64tass|tass64
onetbb|tbb
tbb@2021|tbb
gtef|tepl
tiv|terminalimageviewer
terraform@1.5|terraform
pt|the_platinum_searcher
ag|the_silver_searcher
3mux|threemux
thrift@0.19|thrift
git-tig|tig
tinyfugue|tiny-fugue
lukemftp|tnftp
lukemftpd|tnftpd
tomcat@10|tomcat
libtcnative|tomcat-native
traefik@2|traefik
twolame|two-lame
2ping|twoping
ucm|unisonlang
v8@11.7|v8
vimcat|vimpager
libvips|vips
vtk@9.2|vtk
wamr|wasm-micro-runtime
wxwidgets@3.2|wxwidgets
yubikey-personalization|ykpers
yq@4|yq
0install|zero-install
0mq|zeromq
zmq|zeromq
zsh-completion|zsh-completions
pzstd|zstd
